1.89527e-05,-3.31763e-05,-3.32562e-05,-5.87042e-05,-0.000137305,-0.000137305,-5.87027e-05,-3.32559e-05,-3.31753e-05,1.89514e-05
0.173698,0.173518,0.173602,0.173534,0.173467,0.173467,0.173534,0.173602,0.173518,0.173698
0.198167,0.198055,0.198032,0.19803,0.197967,0.197967,0.19803,0.198032,0.198055,0.198167
0.243989,0.243891,0.243823,0.243774,0.243943,0.243943,0.243774,0.243823,0.243891,0.243989
0.221566,0.221446,0.221446,0.221201,0.221501,0.221501,0.221201,0.221446,0.221446,0.221566
-5.31353e-05,-5.66692e-05,0.000222562,-0.000248319,-0.000138721,-0.000138721,-0.000248321,0.000222561,-5.66688e-05,-5.31335e-05
-0.000370646,-2.83606e-05,0.000185683,-0.000142555,-0.000206981,-0.000206981,-0.000142556,0.000185681,-2.83607e-05,-0.000370643
-0.000349702,-0.000410356,0.00014783,-0.000259342,-0.000378626,-0.000378627,-0.000259342,0.000147828,-0.000410357,-0.0003497
-0.000454884,-0.000101135,0.000136831,-0.000113051,-0.000336604,-0.000336605,-0.000113051,0.000136829,-0.000101136,-0.000454883
-9.56273e-05,-7.48412e-05,8.1092e-05,-0.000204015,-0.000362487,-0.000362488,-0.000204014,8.10911e-05,-7.48407e-05,-9.56267e-05
